Representative,Time,Age,Congress Number,Original Legislative Efficiency,Modified Legislative Efficiency
Howard Coble,1995-01-03,63.79739904,104,1,1
Howard Coble,1997-01-03,65.79876797,105,3,3
Howard Coble,1999-01-03,67.79739904,106,3,3
Howard Coble,2001-01-03,69.79876797,107,3,3
Howard Coble,2003-01-03,71.79739904,108,1,1
Howard Coble,2005-01-03,73.79876797,109,1,1
Howard Coble,2007-01-03,75.79739904,110,2,2
Howard Coble,2009-01-03,77.79876797,111,1,1
Howard Coble,2011-01-03,79.79739904,112,2,2
Howard Coble,2013-01-03,81.79876797,113,3,3
Lamar Smith,1985-01-03,37.12525667,99,#N/A,3
Lamar Smith,1987-01-03,39.12388775,100,3,3
Lamar Smith,1989-01-03,41.12525667,101,3,3
Lamar Smith,1991-01-03,43.12388775,102,2,2
Lamar Smith,1993-01-03,45.12525667,103,3,3
Lamar Smith,1995-01-03,47.12388775,104,2,2
Lamar Smith,1997-01-03,49.12525667,105,3,3
Lamar Smith,1999-01-03,51.12388775,106,2,2
Lamar Smith,2001-01-03,53.12525667,107,3,3
Lamar Smith,2003-01-03,55.12388775,108,3,3
Lamar Smith,2005-01-03,57.12525667,109,3,3
Lamar Smith,2007-01-03,59.12388775,110,1,1
Lamar Smith,2009-01-03,61.12525667,111,2,2
Lamar Smith,2011-01-03,63.12388775,112,3,3
Lamar Smith,2013-01-03,65.12525667,113,2,2
Lamar Smith,2015-01-03,67.12388775,114,2,2
Lamar Smith,2017-01-03,69.12525667,115,2,2
Joe Barton,1985-01-03,35.30184805,99,1,1
Joe Barton,1987-01-03,37.30047912,100,3,3
Joe Barton,1989-01-03,39.30184805,101,3,3
Joe Barton,1991-01-03,41.30047912,102,1,1
Joe Barton,1993-01-03,43.30184805,103,1,1
Joe Barton,1995-01-03,45.30047912,104,2,2
Joe Barton,1997-01-03,47.30184805,105,2,2
Joe Barton,1999-01-03,49.30047912,106,2,2
Joe Barton,2001-01-03,51.30184805,107,1,1
Joe Barton,2003-01-03,53.30047912,108,2,2
Joe Barton,2005-01-03,55.30184805,109,2,2
Joe Barton,2007-01-03,57.30047912,110,1,1
Joe Barton,2009-01-03,59.30184805,111,1,1
Joe Barton,2011-01-03,61.30047912,112,1,1
Joe Barton,2013-01-03,63.30184805,113,1,1
Joe Barton,2015-01-03,65.30047912,114,1,1
Joe Barton,2017-01-03,67.30184805,115,2,2
Pete Visclosky,1985-01-03,35.39219713,99,2,2
Pete Visclosky,1987-01-03,37.3908282,100,1,1
Pete Visclosky,1989-01-03,39.39219713,101,2,2
Pete Visclosky,1991-01-03,41.3908282,102,3,3
Pete Visclosky,1993-01-03,43.39219713,103,1,1
Pete Visclosky,1995-01-03,45.3908282,104,1,1
Pete Visclosky,1997-01-03,47.39219713,105,2,2
